Time,AVz,Ay,Steer_SW
            0,             0, 1.23932117171e-20,             0
        0.025, 3.57716953658e-06, 6.0372713051e-07, 0.00111868197564
         0.05, 2.17741471715e-05, 2.64946538664e-06, 0.0044190636836
        0.075, 8.22807269287e-05, 1.16284882097e-05, 0.0098176477477
          0.1, 0.000211106860661, 2.79064461211e-05, 0.0172309372574
        0.125, 0.000441755459178, 4.93452826049e-05, 0.0265754368156
         0.15, 0.000802864204161, 7.41165495128e-05, 0.0377676486969
        0.175, 0.00132023275364, 0.000100647986983, 0.0507240779698
          0.2, 0.00201145862229, 0.000127121762489, 0.0653612241149
        0.225, 0.0028887190856, 0.000154133900651, 0.0815955922008
         0.25, 0.00395753141493, 0.000183109470527, 0.0993436872959
        0.275, 0.00521832006052, 0.000215768333874, 0.118522010744
          0.3, 0.0066760503687, 0.000253169098869, 0.139047071338
        0.325, 0.0083303982392, 0.000295733159874, 0.16083535552
         0.35, 0.0101850451902, 0.000344123807736, 0.183803379536
        0.375, 0.0122429234907, 0.000398798612878, 0.207867652178
          0.4, 0.0145119000226, 0.000459705799585, 0.232944667339
        0.425, 0.0169845111668, 0.000527477590367, 0.258950918913
         0.45, 0.0196600500494, 0.000606128654908, 0.285802960396
        0.475, 0.0225486364216, 0.000694149173796, 0.313417226076
          0.5, 0.0256770141423, 0.00078925199341, 0.341710239649
        0.525, 0.0290822479874, 0.000893415417522, 0.370598524809
         0.55, 0.0328202471137, 0.00101588282268, 0.399998575449
        0.575, 0.0368729233742, 0.00118575803936, 0.429826915264
          0.6, 0.040799587965, 0.00135809381027, 0.460000008345
        0.625, 0.0454531572759, 0.00139034178574, 0.490450233221
         0.65, 0.0506178252399, 0.00143743911758, 0.521173536777
        0.675, 0.0557265467942, 0.00150541285984, 0.552181661129
          0.7, 0.0606292113662, 0.00160127517302, 0.583486378193
        0.725, 0.0653770342469, 0.0017210590886, 0.615099489689
         0.75, 0.0700569450855, 0.0018520707963, 0.647032678127
        0.775, 0.0747274383903, 0.00198418460786, 0.679297864437
          0.8, 0.0794170498848, 0.00211307010613, 0.711906731129
        0.825, 0.0841367095709, 0.00223634811118, 0.744871079922
         0.85, 0.0888853296638, 0.0023565760348, 0.778202652931
        0.875, 0.0936603993177, 0.00247727404349, 0.811913251877
          0.9, 0.0984543114901, 0.00260330177844, 0.846014678478
        0.925, 0.103266954422, 0.00273781479336, 0.88051867485
         0.95, 0.108102045953, 0.00288062589243, 0.915436983109
        0.975, 0.11297724396, 0.00303109851666, 0.950781464577
            1, 0.117913283408, 0.00318742869422, 0.986563801765
        1.025, 0.122924976051, 0.00334839196876, 1.02279579639
         1.05, 0.128028303385, 0.00351126072928, 1.05948925018
        1.075, 0.133231878281, 0.00367386429571, 1.09665596485
          1.1, 0.138537764549, 0.0038360604085, 1.13430774212
        1.125, 0.143943637609, 0.00399926444516, 1.17245614529
         1.15, 0.149445146322, 0.00416564336047, 1.21111321449
        1.175, 0.15503886342, 0.00433700159192, 1.25029051304
          1.2, 0.160724267364, 0.00451408559456, 1.28999996185
        1.225, 0.166505098343, 0.00469603808597, 1.33024942875
         1.25, 0.172385662794, 0.00488177035004, 1.37103140354
        1.275, 0.178369745612, 0.00506972288713, 1.41233444214
          1.3, 0.184458464384, 0.00525876972824, 1.45414710045
        1.325, 0.190648958087, 0.00544868828729, 1.49645805359
         1.35, 0.196943044662, 0.00564354239032, 1.53925585747
        1.375, 0.203369989991, 0.00584699120373,  1.5825291872
          1.4, 0.20994900167, 0.00605637859553,  1.6262665987
        1.425, 0.216677099466, 0.00627068476751, 1.67045664787
         1.45, 0.223542511463, 0.00648993114009, 1.71508800983
        1.475, 0.230532035232, 0.0067139910534, 1.76014924049
          1.5, 0.237633422017, 0.00694221910089, 1.80562901497
        1.525, 0.244835495949, 0.00717361690477, 1.85151576996
         1.55, 0.252127379179, 0.00740718562156, 1.89779829979
        1.575, 0.259497642517, 0.00764223141596, 1.94446504116
          1.6, 0.266934067011, 0.00787850096822, 1.99150466919
        1.625, 0.274424016476, 0.00811611581594, 2.03890585899
         1.65, 0.281955271959, 0.00835536327213, 2.08665704727
        1.675, 0.289517402649, 0.00859645847231, 2.13474702835
          1.7, 0.297102481127, 0.00883935391903, 2.18316435814
        1.725, 0.304705768824, 0.00908369198442, 2.23189735413
         1.75, 0.312325567007, 0.00932887196541, 2.28093504906
        1.775, 0.319962471724, 0.0095742251724, 2.33026576042
          1.8, 0.327618420124, 0.00981918815523, 2.37987828255
        1.825, 0.33529573679, 0.010063434951,  2.4297683239
         1.85, 0.342996567488, 0.0103069385514, 2.47994112968
        1.875, 0.350722819567, 0.0105498991907,  2.5304017067
          1.9, 0.35847645998, 0.0107926167548, 2.58115577698
        1.925, 0.366259872913, 0.0110353697091, 2.63220858574
         1.95, 0.374076366425, 0.0112783191726, 2.68356585503
        1.975, 0.381930142641, 0.0115214865655, 2.73523259163
            2, 0.389826446772, 0.0117647824809, 2.78721475601
        2.025, 0.397770911455, 0.0120080811903, 2.83951759338
         2.05, 0.405769050121, 0.012251268141, 2.89214658737
        2.075, 0.413826942444, 0.0124934725463, 2.94510698318
          2.1, 0.421953290701, 0.0127355176955, 2.99840450287
        2.125, 0.430151492357, 0.0129783293232, 3.05204439163
         2.15, 0.438421428204, 0.0132222762331,  3.1060321331
        2.175, 0.446762293577, 0.0134676024318, 3.16037344933
          2.2, 0.455173432827, 0.013714492321, 3.21507334709
        2.225, 0.463654875755, 0.013963053003, 3.27013778687
         2.25, 0.472207248211, 0.0142133245245, 3.32557177544
        2.275, 0.48083165288, 0.0144653031603, 3.38138103485
          2.3, 0.489529401064, 0.014718990773, 3.43757104874
        2.325, 0.498301655054, 0.0149744199589,  3.4941470623
         2.35, 0.507149279118, 0.0152316950262, 3.55111455917
        2.375, 0.516072511673, 0.0154909649864, 3.60847902298
          2.4, 0.525071442127, 0.01575236395, 3.66624450684
        2.425, 0.534146010876, 0.0160159990191, 3.72440338135
         2.45, 0.543296217918, 0.0162819139659, 3.78294348717
        2.475, 0.552521884441, 0.0165500994772, 3.84185194969
          2.5, 0.56182295084, 0.0168205108494, 3.90111684799
        2.525, 0.571199119091, 0.0170930791646, 3.96072506905
         2.55, 0.580649912357, 0.0173677355051, 4.02066469193
        2.575, 0.590174555779, 0.0176444184035, 4.08092308044
          2.6, 0.599779307842, 0.0179271735251, 4.14148712158
        2.625,  0.6095302701, 0.0182235762477, 4.20234537125
         2.65, 0.619482040405, 0.0185250099748,   4.263484478
        2.675, 0.629643023014, 0.0188281349838, 4.32489299774
          2.7, 0.640001237392, 0.019132733345,  4.3865571022
        2.725, 0.650537192822, 0.0194396451116, 4.44846534729
         2.75, 0.661229729652, 0.0197497196496,  4.5106048584
        2.775, 0.672059357166, 0.0200634170324, 4.57296276093
          2.8, 0.683009564877, 0.0203807614744, 4.63552761078
        2.825, 0.694066524506, 0.0207014493644, 4.69828605652
         2.85, 0.705218672752, 0.0210250169039, 4.76122617722
        2.875, 0.716456055641, 0.0213509891182, 4.82433462143
          2.9, 0.727769911289, 0.0216789674014, 4.88759994507
        2.925, 0.739151954651, 0.022008664906, 4.95100927353
         2.95, 0.750594437122, 0.022339919582, 5.01454973221
        2.975, 0.762090146542, 0.0226726513356, 5.07820987701
            3, 0.773632407188, 0.0230068489909, 5.14198923111
        3.025, 0.785215318203, 0.0233425535262, 5.20589351654
         3.05, 0.796834111214, 0.0236798133701, 5.26993179321
        3.075, 0.808485090733, 0.0240186601877, 5.33410978317
          3.1, 0.820165514946, 0.0243590921164, 5.39843606949
        3.125, 0.831873655319, 0.0247010886669, 5.46291780472
         3.15, 0.843608438969, 0.0250446107239, 5.52756214142
        3.175, 0.855369508266, 0.0253896079957, 5.59237623215
          3.2, 0.867156922817, 0.0257360264659,  5.6573677063
        3.225, 0.878971278667, 0.0260838083923, 5.72254419327
         3.25, 0.890813529491, 0.0264328997582, 5.78791236877
        3.275, 0.902684867382, 0.0267832539976, 5.85348033905
          3.3, 0.914586782455, 0.0271348301321, 5.91925477982
        3.325, 0.926520824432, 0.0274876002222,  5.9852437973
         3.35, 0.938488423824, 0.0278415549546, 6.05145454407
        3.375, 0.950491309166, 0.028196696192, 6.11789369583
          3.4, 0.962530970573, 0.0285530388355, 6.18456983566
        3.425, 0.974608719349, 0.0289106089622, 6.25148916245
         3.45, 0.986726105213, 0.029269438237, 6.31865978241
        3.475, 0.998884439468, 0.0296295639127, 6.38608884811
          3.5, 1.01108515263, 0.0299910176545, 6.45378351212
        3.525, 1.02332937717, 0.0303538385779, 6.52175140381
         3.55, 1.03561878204, 0.0307180546224, 6.59000015259
        3.575, 1.04795467854, 0.0310836974531, 6.65853500366
          3.6, 1.06033825874, 0.0314507819712, 6.72735548019
        3.625, 1.07277095318, 0.0318193174899, 6.79646015167
         3.65, 1.08525335789, 0.0321893021464, 6.86584711075
        3.675, 1.09778642654, 0.0325607508421,  6.9355134964
          3.7, 1.11037063599, 0.0329336635768, 7.00545787811
        3.725, 1.12300598621, 0.0333080589771, 7.07567834854
         3.75, 1.13569271564, 0.033683937043,  7.1461725235
        3.775, 1.14843082428, 0.0340613089502, 7.21693849564
          3.8, 1.16122019291, 0.0344401672482, 7.28797483444
        3.825, 1.17406070232, 0.0348205119371, 7.35927867889
         3.85, 1.18695211411, 0.0352023430169, 7.43084859848
        3.875, 1.19989407063, 0.0355856455863, 7.50268268585
          3.9, 1.21288633347, 0.0359704121947, 7.57477855682
        3.925, 1.22592842579, 0.0363566428423, 7.64713430405
         3.95, 1.23902010918, 0.0367443263531, 7.71974802017
        3.975, 1.25216090679, 0.0371334515512, 7.79261779785
            4,  1.2653503418, 0.0375240184367,  7.8657412529
        4.025, 1.27858805656, 0.0379160158336,  7.9391169548
         4.05, 1.29187357426, 0.0383094325662, 8.01274204254
        4.075, 1.30520629883, 0.038704264909, 8.08661556244
          4.1, 1.31858611107, 0.0391005016863, 8.16073513031
        4.125, 1.33201241493, 0.0394981317222, 8.23509788513
         4.15, 1.34548473358, 0.0398971401155, 8.30970287323
        4.175, 1.35900270939, 0.0402975082397, 8.38453960419
          4.2, 1.37256574631, 0.040699198842, 8.45959854126
