# Exporter with the sbgCenter application
Time Stamp	Roll	Pitch	Yaw
(s)	(°)	(°)	(°)
227.620	-10.765	-15.229	351.018
227.640	-7.005	-16.144	350.251
227.660	-3.822	-17.144	349.724
227.680	-0.765	-18.323	349.029
227.700	2.551	-19.562	348.077
227.720	5.900	-20.716	347.246
227.740	8.979	-21.776	346.717
227.760	11.549	-22.929	346.176
227.780	13.878	-24.058	345.426
227.800	15.957	-25.007	344.508
227.820	17.921	-25.916	343.882
227.840	19.989	-26.822	343.293
227.860	21.623	-27.677	342.724
227.880	22.557	-28.451	342.244
227.900	23.033	-28.988	341.741
227.920	23.093	-29.416	341.434
227.940	22.445	-29.702	341.464
227.960	21.019	-29.852	341.618
227.980	19.248	-29.814	341.965
228.000	17.189	-29.585	342.411
228.020	14.647	-29.133	342.876
228.040	11.924	-28.582	343.348
228.060	9.132	-27.936	343.879
228.080	5.747	-27.101	344.497
228.100	1.988	-25.978	345.091
228.120	-1.945	-24.632	345.784
228.140	-5.701	-23.172	346.228
228.160	-8.858	-21.675	346.575
228.180	-11.781	-20.175	346.698
228.200	-15.133	-18.502	346.768
228.220	-18.161	-16.975	346.855
228.240	-20.484	-15.612	347.089
228.260	-22.593	-14.227	347.202
228.280	-25.011	-12.787	347.052
228.300	-27.105	-11.542	346.923
228.320	-28.543	-10.544	346.953
228.340	-29.588	-9.646	346.908
228.360	-30.292	-8.742	346.695
228.380	-30.884	-7.739	346.316
228.400	-31.578	-6.732	345.808
228.420	-32.031	-5.915	345.399
228.440	-31.455	-5.233	345.183
228.460	-30.149	-4.516	344.822
228.480	-29.166	-3.786	344.261
228.500	-28.606	-3.286	343.806
228.520	-27.697	-2.843	343.469
228.540	-26.074	-2.374	343.183
228.560	-24.052	-2.087	343.019
228.580	-22.075	-2.020	343.030
228.600	-20.289	-2.103	342.928
228.620	-18.526	-2.285	342.804
228.640	-16.554	-2.570	342.750
228.660	-14.597	-3.012	342.822
228.680	-12.937	-3.463	342.871
228.700	-11.475	-3.871	342.787
228.720	-10.044	-4.345	342.711
228.740	-8.617	-5.031	342.695
228.760	-7.232	-5.873	342.636
228.780	-5.996	-6.666	342.450
228.800	-4.891	-7.307	342.287
228.820	-4.026	-7.848	342.183
228.840	-3.502	-8.254	342.156
228.860	-3.274	-8.557	342.187
228.880	-3.038	-8.746	342.238
228.900	-2.764	-8.697	342.179
228.920	-2.730	-8.434	342.060
228.940	-2.908	-8.085	341.944
228.960	-3.277	-7.751	341.863
228.980	-3.867	-7.496	341.832
229.000	-4.575	-7.215	341.805
229.020	-5.224	-6.832	341.766
229.040	-6.004	-6.380	341.672
229.060	-7.387	-5.792	341.470
229.080	-9.228	-5.122	341.282
229.100	-9.933	-4.696	341.332
229.120	-8.585	-4.671	341.609
229.140	-6.097	-4.888	341.907
229.160	-3.976	-5.073	342.155
229.180	-2.369	-5.118	342.393
229.200	-0.166	-5.018	342.686
229.220	3.178	-4.843	343.105
229.240	7.107	-4.684	343.539
229.260	11.069	-4.486	343.819
229.280	14.709	-4.288	343.956
229.300	17.582	-4.112	344.122
229.320	19.559	-3.818	344.402
229.340	20.429	-3.516	344.649
229.360	20.739	-3.402	344.934
229.380	21.302	-3.507	345.097
229.400	21.850	-3.766	345.241
229.420	21.603	-4.115	345.366
229.440	19.978	-4.353	345.394
229.460	16.483	-4.373	345.288
229.480	11.497	-4.108	345.286
229.500	6.441	-3.723	345.297
229.520	2.262	-3.540	345.253
229.540	-0.780	-3.688	345.138
229.560	-3.144	-4.014	345.151
229.580	-5.808	-4.349	345.184
229.600	-9.664	-4.397	345.375
229.620	-13.675	-4.246	345.361
229.640	-16.162	-4.306	345.396
229.660	-16.732	-4.636	345.421
229.680	-16.534	-5.022	345.724
229.700	-16.937	-5.218	345.901
229.720	-18.029	-5.159	345.766
229.740	-18.346	-5.033	345.513
229.760	-17.331	-5.070	345.313
229.780	-15.626	-5.206	345.236
229.800	-14.033	-5.310	345.149
229.820	-12.884	-5.366	344.993
229.840	-12.012	-5.306	344.746
229.860	-10.954	-5.212	344.493
229.880	-9.653	-5.075	344.275
229.900	-8.753	-4.990	344.122
229.920	-8.298	-5.004	343.995
229.940	-8.145	-4.918	343.807
229.960	-8.372	-4.748	343.575
229.980	-8.594	-4.616	343.337
230.000	-8.475	-4.602	343.173
230.020	-8.091	-4.696	343.059
230.040	-7.780	-4.796	342.944
230.060	-7.868	-4.831	342.758
230.080	-8.316	-4.739	342.508
230.100	-8.829	-4.595	342.305
230.120	-8.983	-4.508	342.179
230.140	-8.670	-4.483	342.082
230.160	-8.285	-4.417	341.957
230.180	-8.220	-4.270	341.791
230.200	-8.487	-4.092	341.592
230.220	-8.862	-3.876	341.404
230.240	-8.989	-3.641	341.199
230.260	-8.680	-3.503	340.936
230.280	-8.277	-3.429	340.697
230.300	-8.093	-3.326	340.512
230.320	-8.088	-3.145	340.346
230.340	-8.200	-2.899	340.202
230.360	-8.353	-2.643	340.077
230.380	-8.280	-2.440	339.937
230.400	-7.943	-2.338	339.762
230.420	-7.559	-2.248	339.576
230.440	-7.215	-2.070	339.407
230.460	-6.884	-1.880	339.302
230.480	-6.833	-1.836	339.259
230.500	-6.916	-1.899	339.243
230.520	-6.869	-1.893	339.167
230.540	-6.604	-1.775	339.029
230.560	-6.272	-1.450	338.921
230.580	-5.916	-1.209	338.795
230.600	-5.879	-1.208	338.797
230.620	-5.930	-1.332	338.752
230.640	-5.998	-1.398	338.626
230.660	-6.030	-1.430	338.574
230.680	-6.107	-1.485	338.559
230.700	-6.163	-1.511	338.574
230.720	-6.182	-1.555	338.571
230.740	-6.168	-1.595	338.571
230.760	-6.161	-1.601	338.563
230.780	-6.170	-1.583	338.512
230.800	-6.200	-1.580	338.404
230.820	-6.317	-1.577	338.381
230.840	-6.551	-1.572	338.396
