Time,AVz,Ay,Steer_SW
            0,             0, 1.69714039657e-05,             0
        0.025, 0.007675035391, 0.00228608446196, -0.00359188928269
         0.05, 0.025680821389, 0.00300563196652, -0.0231479350477
        0.075, 0.0491845607758, 0.00300413719378, -0.0653578341007
          0.1, 0.0755351930857, 0.00279979943298, -0.131188124418
        0.125, 0.102688275278, 0.00267314957455, -0.219068557024
         0.15, 0.128751218319, 0.00272632739507, -0.326608479023
        0.175, 0.152082204819, 0.00294009922072, -0.451424449682
          0.2, 0.171486705542, 0.00322901830077, -0.591429650784
        0.225, 0.186404794455, 0.00348111893982, -0.744816660881
         0.25, 0.196875035763, 0.0036505793687, -0.909919083118
        0.275, 0.203160122037, 0.00373570993543, -1.08502089977
          0.3, 0.205771639943, 0.00373299792409, -1.26819682121
        0.325, 0.205367088318, 0.00366520322859, -1.45726394653
         0.35, 0.202552556992, 0.00357328844257, -1.64982950687
        0.375, 0.19774839282, 0.00349817448296, -1.8434087038
          0.4, 0.191157847643, 0.003465752583, -2.03557467461
        0.425, 0.182809069753, 0.00348148168996, -2.2240960598
         0.45, 0.172642529011, 0.00353229185566, -2.40702533722
        0.475, 0.160600587726, 0.00359305809252, -2.58273124695
          0.5, 0.146698787808, 0.00363481254317, -2.7498831749
        0.525,  0.1310646981, 0.00363251217641, -2.90739917755
         0.55, 0.113940134645, 0.00357012730092, -3.05438566208
        0.575, 0.0956544131041, 0.00344259198755, -3.1900832653
          0.6, 0.0765807777643, 0.00325464177877, -3.31383419037
        0.625, 0.0570903383195, 0.00301753729582, -3.42507338524
         0.65, 0.0375156998634, 0.00274499249645, -3.52334165573
        0.675, 0.0181307103485, 0.00244953529909, -3.60831093788
          0.7, -0.000853533449117, 0.00214014388621, -3.67981004715
        0.725, -0.0192847233266, 0.00182190339547, -3.73784399033
         0.75, -0.0370479039848, 0.00149409030564, -3.78260779381
        0.775, -0.0540388450027, 0.0011532055214, -3.81447696686
          0.8, -0.0701417475939, 0.00079606520012, -3.83397555351
        0.825, -0.0852266848087, 0.000422235345468, -3.84173750877
         0.85, -0.0991585850716, 3.46283486579e-05, -3.83847117424
        0.875, -0.11181178689, -0.000360782461939, -3.82493162155
          0.9, -0.123085096478, -0.000756037130486, -3.80190110207
        0.925, -0.132913172245, -0.0011428645812, -3.7701792717
         0.95, -0.14127150178, -0.00151398289017, -3.73058056831
        0.975, -0.148174926639, -0.0018642245559, -3.68393492699
            1, -0.153666183352, -0.0021913414821, -3.63108944893
        1.025, -0.157801166177, -0.00249457499012, -3.57289934158
         1.05, -0.16063901782, -0.00277384417132, -3.51021766663
        1.075, -0.162237599492, -0.00302901957184, -3.44388461113
          1.1, -0.162652432919, -0.00325955334119, -3.37471580505
        1.125, -0.161938816309, -0.00346433767118, -3.30349493027
         1.15, -0.160154536366, -0.00364211876877, -3.23096728325
        1.175, -0.157361999154, -0.00379179487936, -3.15783834457
          1.2, -0.153624713421, -0.0039133108221, -3.08477210999
        1.225, -0.149007335305, -0.00400564353913, -3.01237940788
         1.25, -0.143581882119, -0.00406742235646, -2.94121336937
        1.275, -0.13743519783, -0.0040982440114, -2.87177419662
          1.3, -0.130666643381, -0.00409900490195, -2.80451226234
        1.325, -0.123384520411, -0.00407169619575, -2.73983263969
         1.35, -0.115699745715, -0.00401924876496, -2.6780936718
        1.375, -0.107719026506, -0.00394514389336, -2.61960506439
          1.4, -0.0995388254523, -0.0038526027929, -2.56462430954
        1.425, -0.091244533658, -0.00374368904158, -2.5133497715
         1.45, -0.082913428545, -0.00361982337199, -2.46592187881
        1.475, -0.0746164247394, -0.00348201137967, -2.42242527008
          1.5, -0.0664187595248, -0.00333114899695, -2.38289523125
        1.525, -0.05837918818, -0.00316830025986, -2.34732341766
         1.55, -0.0505495369434, -0.0029947431758, -2.31566524506
        1.575, -0.0429738014936, -0.00281191291288, -2.28784489632
          1.6, -0.0356873720884, -0.00262161553837, -2.26376032829
        1.625, -0.028718540445, -0.00242483243346, -2.24328160286
         1.65, -0.0220962632447, -0.00222283392213, -2.22626113892
        1.675, -0.0158504582942, -0.00201814598404, -2.21254253387
          1.7, -0.0100076170638, -0.00181372719817, -2.20196557045
        1.725, -0.00458768801764, -0.00161248398945, -2.19436311722
         1.75, 0.000396614224883, -0.00141687050927, -2.18955898285
        1.775, 0.0049383956939, -0.00122858199757, -2.18736505508
          1.8, 0.00903386436403, -0.00104866805486, -2.18758177757
        1.825, 0.012681898661, -0.0008782093646, -2.19000077248
         1.85, 0.0158874485642, -0.000717787246685, -2.19440412521
        1.875, 0.0186608806252, -0.000566966598853, -2.20056200027
          1.9, 0.0210144817829, -0.000425125937909, -2.20823740959
        1.925, 0.0229619126767, -0.000291727948934, -2.2171933651
         1.95, 0.0245183799416, -0.000166427445947, -2.22719740868
        1.975, 0.0257012918591, -4.9231282901e-05, -2.23802900314
            2, 0.0265318732709, 5.95522433287e-05, -2.24948334694
        2.025, 0.0270369462669, 0.000159369898029, -2.26137328148
         2.05, 0.0272472966462, 0.000250266894, -2.27352762222
        2.075, 0.0271921399981, 0.000332446070388, -2.28579378128
          2.1, 0.026895865798, 0.000405350700021, -2.29804396629
        2.125, 0.0263836346567, 0.000468009297037, -2.31017255783
         2.15, 0.0256837159395, 0.000519902387168, -2.32209062576
        2.175, 0.0248259361833, 0.000561069522519, -2.33372163773
          2.2, 0.023839334026, 0.000592160155065, -2.34499526024
        2.225, 0.022749459371, 0.0006142455386, -2.35584616661
         2.25, 0.0215760320425, 0.000628638430499, -2.36621260643
        2.275, 0.0203321482986, 0.000636370386928, -2.37603926659
          2.3, 0.0190273392946, 0.000638036930468, -2.38527750969
        2.325, 0.0176706332713, 0.000634132418782, -2.39388680458
         2.35, 0.0162726510316, 0.000625076354481, -2.40183401108
        2.375, 0.0148464459926, 0.000611350056715, -2.40909457207
          2.4, 0.0134075395763, 0.000593531352933, -2.41565108299
        2.425, 0.0119733139873, 0.000572299468331, -2.42149591446
         2.45, 0.01056144014, 0.00054840487428, -2.42662978172
        2.475, 0.00918600708246, 0.000522804388311, -2.43106460571
          2.5, 0.0078597124666, 0.000495344982482, -2.43482494354
        2.525, 0.00659589702263, 0.000466181634692, -2.43794608116
         2.55, 0.00540811568499, 0.000435602443758, -2.44046974182
        2.575, 0.0043078660965, 0.000404050311772, -2.44244194031
          2.6, 0.00330325285904, 0.000372047390556, -2.44391059875
        2.625, 0.00239804829471, 0.000340120430337, -2.44492316246
         2.65, 0.00159136741422, 0.00030871614581, -2.44552636147
        2.675, 0.000878256862052, 0.00027814405621, -2.44576406479
          2.7, 0.000251835357631, 0.000248467054917, -2.44567775726
        2.725, -0.000297790946206, 0.000220128771616, -2.44530439377
         2.75, -0.00078229198698, 0.000192993073142, -2.44467878342
        2.775, -0.00121227058116, 0.000166756741237, -2.44383478165
