time,Vx_L1,Vx_R1,Vx_L2,Vx_R2,Vx_SM,Pbk_Con
0,0,0,0,0,0,0
0.001,69.99453190280264,69.9945352954387,69.99854787926272,69.99854788953564,69.99951107982538,0
0.002,69.98748296909399,69.98747244271016,69.99665418952155,69.99665435850328,69.99885266917623,0
0.003,69.98091572984819,69.98086842409502,69.99474205116638,69.9947426038535,69.99818321113179,0
0.004,69.97499478943698,69.97488951668802,69.99288997225339,69.99289121740489,69.99749958644127,0
0.005,69.96981476349629,69.96963561536543,69.99104893867813,69.99105124679646,69.99680013070584,0
0.006,69.96541246864501,69.96514897534918,69.98922272178392,69.98922651918653,69.99608416869199,0
0.007,69.96177874444298,69.96142511414853,69.98740878911279,69.98741454868322,69.9953518842872,0
0.008,69.95886975211089,69.95842394594136,69.98560487648901,69.98561310986156,69.99460410548778,0
0.009000000000000001,69.95661724716526,69.9560801095752,69.98380899570527,69.98382024672529,69.99384211291735,0
0.01,69.95493759210653,69.95431209165153,69.98201943105288,69.98203427044084,69.99306747163338,0
0.011,69.95373937963947,69.95302997214046,69.98023472753179,69.98025374863641,69.9922818889291,0
0.012,69.95292963107806,69.9521417461547,69.97845367299112,69.97847748849534,69.99148709881135,0
0.01300000000000001,69.95241860911368,69.95155825615923,69.97667527621364,69.97670451564923,69.99068477240134,0
0.01400000000000001,69.95212334032635,69.95119682514105,69.97489874269449,69.97493405062215,69.98987645246764,0
0.01500000000000001,69.95196998210595,69.95098372008228,69.97312344958104,69.97316548429842,69.98906350958529,0
0.01600000000000001,69.95189519272202,69.95085559961153,69.97134892095257,69.97139835360315,69.98824711697272,0
0.01700000000000001,69.95184667419652,69.95076011221812,69.96957480434092,69.96963231830974,69.98742824085045,0
0.01800000000000001,69.95177984304758,69.95065493996137,69.96780085126568,69.96786714166798,69.98660768112339,0
0.01900000000000001,69.9516586314794,69.95050375586671,69.96602690255055,69.96610267563177,69.9857861021495,0
0.02000000000000001,69.95146016893517,69.95028253424189,69.96425286557005,69.96433883857844,69.98496393130712,0
0.02100000000000001,69.95117214483827,69.94997803427096,69.96247869714352,69.96257559814956,69.9841413982772,0
0.02200000000000001,69.95079063046559,69.94958555494065,69.96070439039735,69.96081295803164,69.9833185766703,0
0.02300000000000001,69.95031792709959,69.94910673895335,69.95892996501075,69.95905094808099,69.98249542481327,0
0.02400000000000001,69.94976066915443,69.94854763941135,69.95715546027985,69.95728961724662,69.98167182160049,0
0.02500000000000002,69.94912821811106,69.94791709013745,69.9553809304779,69.95552902878042,69.980847596711,0
0.02600000000000002,69.94843135626921,69.94722538797358,69.95360644195429,69.95376925718691,69.98002255506758,0
0.02700000000000002,69.94768126975271,69.94648327356155,69.9518320715661,69.9520103865141,69.97919649576306,0
0.02800000000000002,69.94688879668253,69.94570118276974,69.95005790604886,69.95025250960165,69.97836922595354,0
0.02900000000000002,69.94606390815626,69.94488873291492,69.94828404199637,69.94849572796204,69.97754057036835,0
0.03000000000000002,69.945215385599,69.9440544047032,69.94651058619057,69.94674015204154,69.97671037714999,0
0.03100000000000002,69.94435065720178,69.94320538099311,69.9447376560846,69.94498590166627,69.9758785207417,0
0.03200000000000002,69.94347575767968,69.94234750594072,69.94296538029531,69.94323310653115,69.97504490250086,0
0.03300000000000002,69.94259537871098,69.94148530400574,69.94119389902011,69.94148190664514,69.97420944990985,0
0.03400000000000002,69.94171297575431,69.94062176727067,69.9394233645022,69.9397324528754,69.97337211741295,0
0.03500000000000002,69.94083072217018,69.93975899063193,69.93765394112479,69.93798490714131,69.97253288079698,0
0.03600000000000003,69.93994990474293,69.93889839970161,69.93588580517753,69.93623944222895,69.9716917312668,0
0.03700000000000003,69.93907125689799,69.93804085593018,69.93411914436162,69.93449624141508,69.97084867125237,0
0.03800000000000003,69.93819505235258,69.93718674686026,69.93235415728969,69.93275549810167,69.97000371258596,0
0.03900000000000003,69.93732120201776,69.93633607713292,69.93059105292348,69.93101741539172,69.96915687464841,0
0.04000000000000003,69.93644934319968,69.93548855598901,69.92883004996523,69.92928220561613,69.96830818262581,0
0.04100000000000003,69.93557892080332,69.93464367803698,69.92707137621368,69.92755008981766,69.96745766591039,0
0.04200000000000003,69.93470925858831,69.9338007951402,69.92531526789739,69.92582129720033,69.96660535668369,0
0.04300000000000003,69.93383961946158,69.93295917819884,69.92356196899833,69.92409606455391,69.9657512887031,0
0.04400000000000003,69.93296925455064,69.93211806835947,69.92181173057702,69.92237463566241,69.96489549629864,0
0.04500000000000003,69.9320973933296,69.93127671780489,69.9200648101356,69.92065726072953,69.9640380140217,0
0.04600000000000003,69.93122325906639,69.93043442069583,69.91832147102811,69.91894419582199,69.96317887615628,0
0.04700000000000004,69.93034620400975,69.92959053511393,69.91658198179279,69.91723570222692,69.96231811521045,0
0.04800000000000004,69.92946570607467,69.9287444628998,69.91484661556122,69.91553204587255,69.96145576209341,0
0.04900000000000004,69.92858136630109,69.92789563337652,69.91311564952979,69.91383349679973,69.96059184625517,0
0.05000000000000004,69.92769289764571,69.9270436139758,69.91138936439023,69.91214032856524,69.95972639473534,0
0.05100000000000004,69.92680011089641,69.92618809303977,69.90966804383221,69.91045281769698,69.95885943243336,0
0.05200000000000004,69.92590289929761,69.92532886606993,69.9079519740897,69.90877124318183,69.95799098236391,0
0.05300000000000004,69.92500122313865,69.92446581762516,69.906241443529,69.9070958859884,69.95712106595882,0
0.05400000000000004,69.92409509519864,69.92359890372065,69.90453674227193,69.90542702861974,69.956249703361,0
